"Sex";"Periods";"Regions";"Population on 1 January (number)";"Population density (number)";"Population on 31 December (number)"
"Total male and female";"2013";"Zuidwest-Friesland (CR)";"  106401";"     177";"  106237"
"Total male and female";"2014";"Zuidwest-Friesland (CR)";"  135594";"     168";"  135377"
"Total male and female";"2015";"Zuidwest-Friesland (CR)";"  135377";"     168";"  135313"
"Total male and female";"2016";"Zuidwest-Friesland (CR)";"  135313";"     168";"  135743"
"Total male and female";"2017";"Zuidwest-Friesland (CR)";"  135743";"     168";"  135925"
"Total male and female";"2018";"Zuidwest-Friesland (CR)";"  141336";"     162";"  141140"
"Total male and female";"2019";"Zuidwest-Friesland (CR)";"  141140";"     161";"  141551"
"Total male and female";"2020";"Zuidwest-Friesland (CR)";"  141551";"     162";"  141777"
"Total male and female";"2021";"Zuidwest-Friesland (CR)";"  141777";"     162";"  141897"
"Total male and female";"2022";"Zuidwest-Friesland (CR)";"  141897";"     162";"  142875"
"Total male and female";"2023";"Zuidwest-Friesland (CR)";"  142875";"     163";"  142350"
"Total male and female";"2009";"Zuidoost-Friesland (CR)";"  207554";"     187";"  208081"
"Total male and female";"2010";"Zuidoost-Friesland (CR)";"  208081";"     188";"  208107"
"Total male and female";"2011";"Zuidoost-Friesland (CR)";"  208107";"     188";"  208080"
"Total male and female";"2012";"Zuidoost-Friesland (CR)";"  208080";"     188";"  207523"
"Total male and female";"2013";"Zuidoost-Friesland (CR)";"  207523";"     187";"  207258"
"Total male and female";"2014";"Zuidoost-Friesland (CR)";"  186355";"     191";"  186777"
"Total male and female";"2015";"Zuidoost-Friesland (CR)";"  186777";"     191";"  186650"
"Total male and female";"2016";"Zuidoost-Friesland (CR)";"  186650";"     191";"  186764"
"Total male and female";"2017";"Zuidoost-Friesland (CR)";"  186764";"     191";"  187013"
"Total male and female";"2018";"Zuidoost-Friesland (CR)";"  187013";"     192";"  187255"
"Total male and female";"2019";"Zuidoost-Friesland (CR)";"  187255";"     192";"  187759"
"Total male and female";"2020";"Zuidoost-Friesland (CR)";"  187759";"     192";"  188096"
"Total male and female";"2021";"Zuidoost-Friesland (CR)";"  188096";"     193";"  188763"
"Total male and female";"2022";"Zuidoost-Friesland (CR)";"  188763";"     194";"  190093"
"Total male and female";"2023";"Zuidoost-Friesland (CR)";"  190093";"     195";"  190818"
"Total male and female";"2009";"Noord-Drenthe (CR)";"  188915";"     181";"  189196"
"Total male and female";"2010";"Noord-Drenthe (CR)";"  189196";"     181";"  189787"
"Total male and female";"2011";"Noord-Drenthe (CR)";"  189787";"     182";"  189816"
"Total male and female";"2012";"Noord-Drenthe (CR)";"  189816";"     182";"  189647"
"Total male and female";"2013";"Noord-Drenthe (CR)";"  189647";"     182";"  189493"
"Total male and female";"2014";"Noord-Drenthe (CR)";"  189493";"     182";"  189359"
"Total male and female";"2015";"Noord-Drenthe (CR)";"  189359";"     182";"  189597"
"Total male and female";"2016";"Noord-Drenthe (CR)";"  189597";"     182";"  192497"
"Total male and female";"2017";"Noord-Drenthe (CR)";"  192497";"     185";"  192102"
"Total male and female";"2018";"Noord-Drenthe (CR)";"  192102";"     185";"  191515"
"Total male and female";"2019";"Noord-Drenthe (CR)";"  191515";"     184";"  192369"
"Total male and female";"2020";"Noord-Drenthe (CR)";"  192369";"     185";"  192808"
"Total male and female";"2021";"Noord-Drenthe (CR)";"  192808";"     185";"  193706"
"Total male and female";"2022";"Noord-Drenthe (CR)";"  193706";"     186";"  195308"
"Total male and female";"2023";"Noord-Drenthe (CR)";"  195308";"     188";"  196060"
"Total male and female";"2009";"Zuidoost-Drenthe (CR)";"  171479";"     189";"  171684"
"Total male and female";"2010";"Zuidoost-Drenthe (CR)";"  171684";"     189";"  171267"
"Total male and female";"2011";"Zuidoost-Drenthe (CR)";"  171267";"     189";"  170578"
"Total male and female";"2012";"Zuidoost-Drenthe (CR)";"  170578";"     188";"  169819"
"Total male and female";"2013";"Zuidoost-Drenthe (CR)";"  169819";"     187";"  169448"
"Total male and female";"2014";"Zuidoost-Drenthe (CR)";"  169448";"     187";"  168812"
"Total male and female";"2015";"Zuidoost-Drenthe (CR)";"  168812";"     186";"  168336"
"Total male and female";"2016";"Zuidoost-Drenthe (CR)";"  168336";"     186";"  168131"
"Total male and female";"2017";"Zuidoost-Drenthe (CR)";"  168131";"     186";"  167842"
"Total male and female";"2018";"Zuidoost-Drenthe (CR)";"  167842";"     185";"  167968"
"Total male and female";"2019";"Zuidoost-Drenthe (CR)";"  167968";"     185";"  167904"
"Total male and female";"2020";"Zuidoost-Drenthe (CR)";"  167904";"     185";"  167939"
"Total male and female";"2021";"Zuidoost-Drenthe (CR)";"  167939";"     185";"  169054"
"Total male and female";"2022";"Zuidoost-Drenthe (CR)";"  169054";"     187";"  170384"
"Total male and female";"2023";"Zuidoost-Drenthe (CR)";"  170384";"     188";"  171085"
"Total male and female";"2009";"Zuidwest-Drenthe (CR)";"  129524";"     189";"  130101"
"Total male and female";"2010";"Zuidwest-Drenthe (CR)";"  130101";"     189";"  130357"
"Total male and female";"2011";"Zuidwest-Drenthe (CR)";"  130357";"     190";"  130413"
"Total male and female";"2012";"Zuidwest-Drenthe (CR)";"  130413";"     190";"  130452"
"Total male and female";"2013";"Zuidwest-Drenthe (CR)";"  130452";"     190";"  130047"
"Total male and female";"2014";"Zuidwest-Drenthe (CR)";"  130047";"     189";"  130405"
"Total male and female";"2015";"Zuidwest-Drenthe (CR)";"  130405";"     190";"  130696"
"Total male and female";"2016";"Zuidwest-Drenthe (CR)";"  130696";"     190";"  131164"
"Total male and female";"2017";"Zuidwest-Drenthe (CR)";"  131164";"     191";"  132156"
"Total male and female";"2018";"Zuidwest-Drenthe (CR)";"  132156";"     193";"  132684"
"Total male and female";"2019";"Zuidwest-Drenthe (CR)";"  132684";"     193";"  133409"
"Total male and female";"2020";"Zuidwest-Drenthe (CR)";"  133409";"     194";"  134024"
"Total male and female";"2021";"Zuidwest-Drenthe (CR)";"  134024";"     195";"  134983"
"Total male and female";"2022";"Zuidwest-Drenthe (CR)";"  134983";"     197";"  136359"
"Total male and female";"2023";"Zuidwest-Drenthe (CR)";"  136359";"     199";"  136984"
"Total male and female";"2009";"Noord-Overijssel (CR)";"  351878";"     248";"  354054"
"Total male and female";"2010";"Noord-Overijssel (CR)";"  354054";"     249";"  356161"
"Total male and female";"2011";"Noord-Overijssel (CR)";"  356161";"     251";"  358148"
"Total male and female";"2012";"Noord-Overijssel (CR)";"  358148";"     252";"  359806"
"Total male and female";"2013";"Noord-Overijssel (CR)";"  359806";"     254";"  360747"
"Total male and female";"2014";"Noord-Overijssel (CR)";"  360747";"     254";"  361694"
"Total male and female";"2015";"Noord-Overijssel (CR)";"  361694";"     255";"  364300"
"Total male and female";"2016";"Noord-Overijssel (CR)";"  364300";"     257";"  366319"
"Total male and female";"2017";"Noord-Overijssel (CR)";"  366319";"     258";"  368819"
"Total male and female";"2018";"Noord-Overijssel (CR)";"  368819";"     261";"  371608"
"Total male and female";"2019";"Noord-Overijssel (CR)";"  371608";"     263";"  374659"
"Total male and female";"2020";"Noord-Overijssel (CR)";"  374659";"     265";"  377292"
"Total male and female";"2021";"Noord-Overijssel (CR)";"  377292";"     267";"  379911"
"Total male and female";"2022";"Noord-Overijssel (CR)";"  379911";"     269";"  385473"
"Total male and female";"2023";"Noord-Overijssel (CR)";"  385473";"     273";"  387623"
"Total male and female";"2009";"Zuidwest-Overijssel (CR)";"  152265";"     365";"  152859"
"Total male and female";"2010";"Zuidwest-Overijssel (CR)";"  152859";"     367";"  152927"
"Total male and female";"2011";"Zuidwest-Overijssel (CR)";"  152927";"     367";"  152934"
"Total male and female";"2012";"Zuidwest-Overijssel (CR)";"  152934";"     367";"  152818"
"Total male and female";"2013";"Zuidwest-Overijssel (CR)";"  152818";"     367";"  152611"
"Total male and female";"2014";"Zuidwest-Overijssel (CR)";"  152611";"     367";"  152982"
"Total male and female";"2015";"Zuidwest-Overijssel (CR)";"  152982";"     367";"  153455"
"Total male and female";"2016";"Zuidwest-Overijssel (CR)";"  153455";"     369";"  154159"
"Total male and female";"2017";"Zuidwest-Overijssel (CR)";"  154159";"     370";"  154834"
"Total male and female";"2018";"Zuidwest-Overijssel (CR)";"  154834";"     373";"  155539"
"Total male and female";"2019";"Zuidwest-Overijssel (CR)";"  155539";"     374";"  156683"
"Total male and female";"2020";"Zuidwest-Overijssel (CR)";"  156683";"     377";"  157508"
"Total male and female";"2021";"Zuidwest-Overijssel (CR)";"  157508";"     379";"  158082"
"Total male and female";"2022";"Zuidwest-Overijssel (CR)";"  158082";"     381";"  159963"
"Total male and female";"2023";"Zuidwest-Overijssel (CR)";"  159963";"     385";"  160604"
"Total male and female";"2009";"Twente (CR)";"  621292";"     417";"  623432"
"Total male and female";"2010";"Twente (CR)";"  623432";"     419";"  625377"
"Total male and female";"2011";"Twente (CR)";"  625377";"     420";"  626586"
"Total male and female";"2012";"Twente (CR)";"  626586";"     421";"  626726"
"Total male and female";"2013";"Twente (CR)";"  626726";"     421";"  626339"
