"ID";"TypeOfBankruptcy";"Regions";"Periods";"PronouncedBankruptcies_1"
"0";"A047596";"NL00  ";"2009MM01";"     563"
"1";"A047596";"NL00  ";"2009MM02";"     601"
"2";"A047596";"NL00  ";"2009MM03";"     768"
"3";"A047596";"NL00  ";"2009KW01";"    1932"
"4";"A047596";"NL00  ";"2009MM04";"     717"
"5";"A047596";"NL00  ";"2009MM05";"     581"
"6";"A047596";"NL00  ";"2009MM06";"     797"
"7";"A047596";"NL00  ";"2009KW02";"    2095"
"8";"A047596";"NL00  ";"2009MM07";"     731"
"9";"A047596";"NL00  ";"2009MM08";"     586"
"10";"A047596";"NL00  ";"2009MM09";"     710"
"11";"A047596";"NL00  ";"2009KW03";"    2027"
"12";"A047596";"NL00  ";"2009MM10";"     621"
"13";"A047596";"NL00  ";"2009MM11";"     677"
"14";"A047596";"NL00  ";"2009MM12";"     635"
"15";"A047596";"NL00  ";"2009KW04";"    1933"
"16";"A047596";"NL00  ";"2009JJ00";"    7987"
"17";"A047596";"NL00  ";"2010MM01";"     590"
"18";"A047596";"NL00  ";"2010MM02";"     632"
"19";"A047596";"NL00  ";"2010MM03";"     744"
"20";"A047596";"NL00  ";"2010KW01";"    1966"
"21";"A047596";"NL00  ";"2010MM04";"     571"
"22";"A047596";"NL00  ";"2010MM05";"     473"
"23";"A047596";"NL00  ";"2010MM06";"     754"
"24";"A047596";"NL00  ";"2010KW02";"    1798"
"25";"A047596";"NL00  ";"2010MM07";"     548"
"26";"A047596";"NL00  ";"2010MM08";"     590"
"27";"A047596";"NL00  ";"2010MM09";"     514"
"28";"A047596";"NL00  ";"2010KW03";"    1652"
"29";"A047596";"NL00  ";"2010MM10";"     590"
"30";"A047596";"NL00  ";"2010MM11";"     652"
"31";"A047596";"NL00  ";"2010MM12";"     489"
"32";"A047596";"NL00  ";"2010KW04";"    1731"
"33";"A047596";"NL00  ";"2010JJ00";"    7147"
"34";"A047596";"NL00  ";"2011MM01";"     546"
"35";"A047596";"NL00  ";"2011MM02";"     569"
"36";"A047596";"NL00  ";"2011MM03";"     620"
"37";"A047596";"NL00  ";"2011KW01";"    1735"
"38";"A047596";"NL00  ";"2011MM04";"     499"
"39";"A047596";"NL00  ";"2011MM05";"     631"
"40";"A047596";"NL00  ";"2011MM06";"     483"
"41";"A047596";"NL00  ";"2011KW02";"    1613"
"42";"A047596";"NL00  ";"2011MM07";"     503"
"43";"A047596";"NL00  ";"2011MM08";"     578"
"44";"A047596";"NL00  ";"2011MM09";"     582"
"45";"A047596";"NL00  ";"2011KW03";"    1663"
"46";"A047596";"NL00  ";"2011MM10";"     587"
"47";"A047596";"NL00  ";"2011MM11";"     718"
"48";"A047596";"NL00  ";"2011MM12";"     567"
"49";"A047596";"NL00  ";"2011KW04";"    1872"
"50";"A047596";"NL00  ";"2011JJ00";"    6883"
"51";"A047596";"NL00  ";"2012MM01";"     766"
"52";"A047596";"NL00  ";"2012MM02";"     671"
"53";"A047596";"NL00  ";"2012MM03";"     667"
"54";"A047596";"NL00  ";"2012KW01";"    2104"
"55";"A047596";"NL00  ";"2012MM04";"     668"
"56";"A047596";"NL00  ";"2012MM05";"     761"
"57";"A047596";"NL00  ";"2012MM06";"     661"
"58";"A047596";"NL00  ";"2012KW02";"    2090"
"59";"A047596";"NL00  ";"2012MM07";"     809"
"60";"A047596";"NL00  ";"2012MM08";"     577"
"61";"A047596";"NL00  ";"2012MM09";"     646"
"62";"A047596";"NL00  ";"2012KW03";"    2032"
"63";"A047596";"NL00  ";"2012MM10";"     816"
"64";"A047596";"NL00  ";"2012MM11";"     686"
"65";"A047596";"NL00  ";"2012MM12";"     618"
"66";"A047596";"NL00  ";"2012KW04";"    2120"
"67";"A047596";"NL00  ";"2012JJ00";"    8346"
"68";"A047596";"NL00  ";"2013MM01";"     835"
"69";"A047596";"NL00  ";"2013MM02";"     832"
"70";"A047596";"NL00  ";"2013MM03";"     813"
"71";"A047596";"NL00  ";"2013KW01";"    2480"
"72";"A047596";"NL00  ";"2013MM04";"     791"
"73";"A047596";"NL00  ";"2013MM05";"     891"
"74";"A047596";"NL00  ";"2013MM06";"     797"
"75";"A047596";"NL00  ";"2013KW02";"    2479"
"76";"A047596";"NL00  ";"2013MM07";"     883"
"77";"A047596";"NL00  ";"2013MM08";"     682"
"78";"A047596";"NL00  ";"2013MM09";"     675"
"79";"A047596";"NL00  ";"2013KW03";"    2240"
"80";"A047596";"NL00  ";"2013MM10";"     840"
"81";"A047596";"NL00  ";"2013MM11";"     677"
"82";"A047596";"NL00  ";"2013MM12";"     715"
"83";"A047596";"NL00  ";"2013KW04";"    2232"
"84";"A047596";"NL00  ";"2013JJ00";"    9431"
"85";"A047596";"NL00  ";"2014MM01";"     700"
"86";"A047596";"NL00  ";"2014MM02";"     681"
"87";"A047596";"NL00  ";"2014MM03";"     596"
"88";"A047596";"NL00  ";"2014KW01";"    1977"
"89";"A047596";"NL00  ";"2014MM04";"     829"
"90";"A047596";"NL00  ";"2014MM05";"     621"
"91";"A047596";"NL00  ";"2014MM06";"     524"
"92";"A047596";"NL00  ";"2014KW02";"    1974"
"93";"A047596";"NL00  ";"2014MM07";"     721"
"94";"A047596";"NL00  ";"2014MM08";"     537"
"95";"A047596";"NL00  ";"2014MM09";"     630"
"96";"A047596";"NL00  ";"2014KW03";"    1888"
"97";"A047596";"NL00  ";"2014MM10";"     608"
"98";"A047596";"NL00  ";"2014MM11";"     558"
"99";"A047596";"NL00  ";"2014MM12";"     616"
"100";"A047596";"NL00  ";"2014KW04";"    1782"
"101";"A047596";"NL00  ";"2014JJ00";"    7621"
"102";"A047596";"NL00  ";"2015MM01";"     552"
"103";"A047596";"NL00  ";"2015MM02";"     538"
"104";"A047596";"NL00  ";"2015MM03";"     712"
"105";"A047596";"NL00  ";"2015KW01";"    1802"
"106";"A047596";"NL00  ";"2015MM04";"     513"
"107";"A047596";"NL00  ";"2015MM05";"     433"
"108";"A047596";"NL00  ";"2015MM06";"     543"
"109";"A047596";"NL00  ";"2015KW02";"    1489"
"110";"A047596";"NL00  ";"2015MM07";"     479"
"111";"A047596";"NL00  ";"2015MM08";"     363"
"112";"A047596";"NL00  ";"2015MM09";"     456"
"113";"A047596";"NL00  ";"2015KW03";"    1298"
"114";"A047596";"NL00  ";"2015MM10";"     427"
"115";"A047596";"NL00  ";"2015MM11";"     438"
"116";"A047596";"NL00  ";"2015MM12";"     552"
"117";"A047596";"NL00  ";"2015KW04";"    1417"
"118";"A047596";"NL00  ";"2015JJ00";"    6006"
"119";"A047596";"NL00  ";"2016MM01";"     426"
"120";"A047596";"NL00  ";"2016MM02";"     504"
"121";"A047596";"NL00  ";"2016MM03";"     515"
"122";"A047596";"NL00  ";"2016KW01";"    1445"
"123";"A047596";"NL00  ";"2016MM04";"     411"
"124";"A047596";"NL00  ";"2016MM05";"     437"
"125";"A047596";"NL00  ";"2016MM06";"     421"
"126";"A047596";"NL00  ";"2016KW02";"    1269"
"127";"A047596";"NL00  ";"2016MM07";"     400"
"128";"A047596";"NL00  ";"2016MM08";"     372"
"129";"A047596";"NL00  ";"2016MM09";"     333"
"130";"A047596";"NL00  ";"2016KW03";"    1105"
"131";"A047596";"NL00  ";"2016MM10";"     332"
"132";"A047596";"NL00  ";"2016MM11";"     515"
"133";"A047596";"NL00  ";"2016MM12";"     346"
"134";"A047596";"NL00  ";"2016KW04";"    1193"
"135";"A047596";"NL00  ";"2016JJ00";"    5012"
"136";"A047596";"NL00  ";"2017MM01";"     444"
"137";"A047596";"NL00  ";"2017MM02";"     336"
"138";"A047596";"NL00  ";"2017MM03";"     340"
"139";"A047596";"NL00  ";"2017KW01";"    1120"
"140";"A047596";"NL00  ";"2017MM04";"     296"
"141";"A047596";"NL00  ";"2017MM05";"     373"
"142";"A047596";"NL00  ";"2017MM06";"     325"
"143";"A047596";"NL00  ";"2017KW02";"     994"
"144";"A047596";"NL00  ";"2017MM07";"     289"
"145";"A047596";"NL00  ";"2017MM08";"     315"
"146";"A047596";"NL00  ";"2017MM09";"     271"
"147";"A047596";"NL00  ";"2017KW03";"     875"
"148";"A047596";"NL00  ";"2017MM10";"     334"
"149";"A047596";"NL00  ";"2017MM11";"     292"
"150";"A047596";"NL00  ";"2017MM12";"     252"
"151";"A047596";"NL00  ";"2017KW04";"     878"
"152";"A047596";"NL00  ";"2017JJ00";"    3867"
"153";"A047596";"NL00  ";"2018MM01";"     366"
"154";"A047596";"NL00  ";"2018MM02";"     269"
"155";"A047596";"NL00  ";"2018MM03";"     296"
"156";"A047596";"NL00  ";"2018KW01";"     931"
"157";"A047596";"NL00  ";"2018MM04";"     288"
"158";"A047596";"NL00  ";"2018MM05";"     343"
"159";"A047596";"NL00  ";"2018MM06";"     271"
"160";"A047596";"NL00  ";"2018KW02";"     902"
"161";"A047596";"NL00  ";"2018MM07";"     319"
"162";"A047596";"NL00  ";"2018MM08";"     295"
"163";"A047596";"NL00  ";"2018MM09";"     265"
"164";"A047596";"NL00  ";"2018KW03";"     879"
"165";"A047596";"NL00  ";"2018MM10";"     339"
"166";"A047596";"NL00  ";"2018MM11";"     298"
"167";"A047596";"NL00  ";"2018MM12";"     284"
"168";"A047596";"NL00  ";"2018KW04";"     921"
"169";"A047596";"NL00  ";"2018JJ00";"    3633"
"170";"A047596";"NL00  ";"2019MM01";"     329"
"171";"A047596";"NL00  ";"2019MM02";"     299"
"172";"A047596";"NL00  ";"2019MM03";"     302"
"173";"A047596";"NL00  ";"2019KW01";"     930"
"174";"A047596";"NL00  ";"2019MM04";"     369"
"175";"A047596";"NL00  ";"2019MM05";"     295"
"176";"A047596";"NL00  ";"2019MM06";"     282"
"177";"A047596";"NL00  ";"2019KW02";"     946"
"178";"A047596";"NL00  ";"2019MM07";"     360"
"179";"A047596";"NL00  ";"2019MM08";"     286"
"180";"A047596";"NL00  ";"2019MM09";"     296"
"181";"A047596";"NL00  ";"2019KW03";"     942"
"182";"A047596";"NL00  ";"2019MM10";"     335"
"183";"A047596";"NL00  ";"2019MM11";"     317"
"184";"A047596";"NL00  ";"2019MM12";"     322"
"185";"A047596";"NL00  ";"2019KW04";"     974"
"186";"A047596";"NL00  ";"2019JJ00";"    3792"
"187";"A047596";"NL00  ";"2020MM01";"     299"
"188";"A047596";"NL00  ";"2020MM02";"     321"
"189";"A047596";"NL00  ";"2020MM03";"     327"
"190";"A047596";"NL00  ";"2020KW01";"     947"
"191";"A047596";"NL00  ";"2020MM04";"     366"
"192";"A047596";"NL00  ";"2020MM05";"     316"
"193";"A047596";"NL00  ";"2020MM06";"     298"
"194";"A047596";"NL00  ";"2020KW02";"     980"
"195";"A047596";"NL00  ";"2020MM07";"     223"
"196";"A047596";"NL00  ";"2020MM08";"     190"
"197";"A047596";"NL00  ";"2020MM09";"     249"
"198";"A047596";"NL00  ";"2020KW03";"     662"
"199";"A047596";"NL00  ";"2020MM10";"     184"
"200";"A047596";"NL00  ";"2020MM11";"     203"
"201";"A047596";"NL00  ";"2020MM12";"     201"
"202";"A047596";"NL00  ";"2020KW04";"     588"
"203";"A047596";"NL00  ";"2020JJ00";"    3177"
"204";"A047596";"NL00  ";"2021MM01";"     160"
"205";"A047596";"NL00  ";"2021MM02";"     136"
"206";"A047596";"NL00  ";"2021MM03";"     194"
"207";"A047596";"NL00  ";"2021KW01";"     490"
"208";"A047596";"NL00  ";"2021MM04";"     146"
"209";"A047596";"NL00  ";"2021MM05";"     153"
"210";"A047596";"NL00  ";"2021MM06";"     162"
"211";"A047596";"NL00  ";"2021KW02";"     461"
"212";"A047596";"NL00  ";"2021MM07";"     120"
"213";"A047596";"NL00  ";"2021MM08";"     124"
"214";"A047596";"NL00  ";"2021MM09";"     137"
"215";"A047596";"NL00  ";"2021KW03";"     381"
"216";"A047596";"NL00  ";"2021MM10";"     121"
"217";"A047596";"NL00  ";"2021MM11";"     208"
"218";"A047596";"NL00  ";"2021MM12";"     157"
"219";"A047596";"NL00  ";"2021KW04";"     486"
"220";"A047596";"NL00  ";"2021JJ00";"    1818"
"221";"A047596";"NL00  ";"2022MM01";"     130"
"222";"A047596";"NL00  ";"2022MM02";"     169"
"223";"A047596";"NL00  ";"2022MM03";"     189"
"224";"A047596";"NL00  ";"2022KW01";"     488"
"225";"A047596";"NL00  ";"2022MM04";"     108"
"226";"A047596";"NL00  ";"2022MM05";"     210"
"227";"A047596";"NL00  ";"2022MM06";"     155"
"228";"A047596";"NL00  ";"2022KW02";"     473"
"229";"A047596";"NL00  ";"2022MM07";"     140"
"230";"A047596";"NL00  ";"2022MM08";"     171"
"231";"A047596";"NL00  ";"2022MM09";"     164"
"232";"A047596";"NL00  ";"2022KW03";"     475"
"233";"A047596";"NL00  ";"2022MM10";"     204"
"234";"A047596";"NL00  ";"2022MM11";"     258"
"235";"A047596";"NL00  ";"2022MM12";"     247"
"236";"A047596";"NL00  ";"2022KW04";"     709"
"237";"A047596";"NL00  ";"2022JJ00";"    2145"
"238";"A047596";"NL00  ";"2023MM01";"     260"
"239";"A047596";"NL00  ";"2023MM02";"     259"
"240";"A047596";"NL00  ";"2023MM03";"     208"
"241";"A047596";"NL00  ";"2023KW01";"     728"
"242";"A047596";"NL00  ";"2023MM04";"     219"
"243";"A047596";"NL00  ";"2023MM05";"     291"
"244";"A047596";"NL00  ";"2023MM06";"     288"
"245";"A047596";"NL00  ";"2023KW02";"     798"
"246";"A047596";"NL00  ";"2023MM07";"     242"
"247";"A047596";"NL00  ";"2023MM08";"     309"
"248";"A047596";"NL00  ";"2023MM09";"     280"
"249";"A047596";"NL00  ";"2023KW03";"     831"
"250";"A047596";"NL00  ";"2023MM10";"     332"
"251";"A047596";"NL00  ";"2023MM11";"     287"
"252";"A047596";"NL00  ";"2023MM12";"     296"
"253";"A047596";"NL00  ";"2023KW04";"     915"
"254";"A047596";"NL00  ";"2023JJ00";"    3272"
"255";"A047596";"NL00  ";"2024MM01";"     420"
"256";"A047596";"NL00  ";"2024MM02";"     320"
"257";"A047596";"NL00  ";"2024MM03";"     313"
"258";"A047596";"NL00  ";"2024KW01";"    1053"
"259";"A047596";"NL00  ";"2024MM04";"     403"
"260";"A047596";"NL00  ";"2024MM05";"     316"
"261";"A047596";"NL00  ";"2024MM06";"     349"
"262";"A047596";"NL00  ";"2024KW02";"    1068"
"263";"A047596";"NL00  ";"2024MM07";"     454"
"264";"A047596";"NL00  ";"2024MM08";"     306"
"265";"A047596";"NL00  ";"2024MM09";"     343"
"266";"A047596";"NL00  ";"2024KW03";"    1103"
"267";"A047596";"NL00  ";"2024MM10";"     371"
"268";"A047596";"NL00  ";"2024MM11";"     325"
"269";"A047596";"NL00  ";"2024MM12";"     350"
"270";"A047596";"NL00  ";"2024KW04";"    1046"
"271";"A047596";"NL00  ";"2024JJ00";"    4270"
"272";"A047596";"NL00  ";"2025MM01";"     300"
"273";"A047596";"NL00  ";"2025MM02";"     339"
"274";"A047596";"NL01  ";"2009MM01";"     563"
"275";"A047596";"NL01  ";"2009MM02";"     601"
"276";"A047596";"NL01  ";"2009MM03";"     768"
"277";"A047596";"NL01  ";"2009KW01";"    1932"
"278";"A047596";"NL01  ";"2009MM04";"     717"
"279";"A047596";"NL01  ";"2009MM05";"     581"
"280";"A047596";"NL01  ";"2009MM06";"     797"
"281";"A047596";"NL01  ";"2009KW02";"    2095"
"282";"A047596";"NL01  ";"2009MM07";"     731"
"283";"A047596";"NL01  ";"2009MM08";"     586"
"284";"A047596";"NL01  ";"2009MM09";"     710"
"285";"A047596";"NL01  ";"2009KW03";"    2027"
"286";"A047596";"NL01  ";"2009MM10";"     621"
"287";"A047596";"NL01  ";"2009MM11";"     677"
"288";"A047596";"NL01  ";"2009MM12";"     635"
"289";"A047596";"NL01  ";"2009KW04";"    1933"
"290";"A047596";"NL01  ";"2009JJ00";"    7987"
"291";"A047596";"NL01  ";"2010MM01";"     590"
"292";"A047596";"NL01  ";"2010MM02";"     632"
"293";"A047596";"NL01  ";"2010MM03";"     744"
"294";"A047596";"NL01  ";"2010KW01";"    1966"
"295";"A047596";"NL01  ";"2010MM04";"     571"
"296";"A047596";"NL01  ";"2010MM05";"     473"
"297";"A047596";"NL01  ";"2010MM06";"     754"
"298";"A047596";"NL01  ";"2010KW02";"    1798"
"299";"A047596";"NL01  ";"2010MM07";"     548"
"300";"A047596";"NL01  ";"2010MM08";"     590"
"301";"A047596";"NL01  ";"2010MM09";"     514"
"302";"A047596";"NL01  ";"2010KW03";"    1652"
"303";"A047596";"NL01  ";"2010MM10";"     590"
"304";"A047596";"NL01  ";"2010MM11";"     651"
"305";"A047596";"NL01  ";"2010MM12";"     489"
"306";"A047596";"NL01  ";"2010KW04";"    1730"
"307";"A047596";"NL01  ";"2010JJ00";"    7146"
"308";"A047596";"NL01  ";"2011MM01";"     545"
"309";"A047596";"NL01  ";"2011MM02";"     567"
"310";"A047596";"NL01  ";"2011MM03";"     620"
"311";"A047596";"NL01  ";"2011KW01";"    1732"
"312";"A047596";"NL01  ";"2011MM04";"     497"
"313";"A047596";"NL01  ";"2011MM05";"     627"
"314";"A047596";"NL01  ";"2011MM06";"     478"
"315";"A047596";"NL01  ";"2011KW02";"    1602"
"316";"A047596";"NL01  ";"2011MM07";"     502"
"317";"A047596";"NL01  ";"2011MM08";"     571"
"318";"A047596";"NL01  ";"2011MM09";"     582"
"319";"A047596";"NL01  ";"2011KW03";"    1655"
"320";"A047596";"NL01  ";"2011MM10";"     585"
"321";"A047596";"NL01  ";"2011MM11";"     713"
"322";"A047596";"NL01  ";"2011MM12";"     567"
"323";"A047596";"NL01  ";"2011KW04";"    1865"
"324";"A047596";"NL01  ";"2011JJ00";"    6854"
"325";"A047596";"NL01  ";"2012MM01";"     766"
"326";"A047596";"NL01  ";"2012MM02";"     670"
"327";"A047596";"NL01  ";"2012MM03";"     665"
"328";"A047596";"NL01  ";"2012KW01";"    2101"
"329";"A047596";"NL01  ";"2012MM04";"     667"
"330";"A047596";"NL01  ";"2012MM05";"     761"
"331";"A047596";"NL01  ";"2012MM06";"     660"
"332";"A047596";"NL01  ";"2012KW02";"    2088"
"333";"A047596";"NL01  ";"2012MM07";"     807"
"334";"A047596";"NL01  ";"2012MM08";"     575"
"335";"A047596";"NL01  ";"2012MM09";"     646"
"336";"A047596";"NL01  ";"2012KW03";"    2028"
"337";"A047596";"NL01  ";"2012MM10";"     815"
"338";"A047596";"NL01  ";"2012MM11";"     685"
"339";"A047596";"NL01  ";"2012MM12";"     618"
"340";"A047596";"NL01  ";"2012KW04";"    2118"
"341";"A047596";"NL01  ";"2012JJ00";"    8335"
"342";"A047596";"NL01  ";"2013MM01";"     831"
"343";"A047596";"NL01  ";"2013MM02";"     827"
"344";"A047596";"NL01  ";"2013MM03";"     812"
"345";"A047596";"NL01  ";"2013KW01";"    2470"
"346";"A047596";"NL01  ";"2013MM04";"     787"
"347";"A047596";"NL01  ";"2013MM05";"     886"
"348";"A047596";"NL01  ";"2013MM06";"     793"
"349";"A047596";"NL01  ";"2013KW02";"    2466"
"350";"A047596";"NL01  ";"2013MM07";"     880"
"351";"A047596";"NL01  ";"2013MM08";"     680"
"352";"A047596";"NL01  ";"2013MM09";"     672"
"353";"A047596";"NL01  ";"2013KW03";"    2232"
"354";"A047596";"NL01  ";"2013MM10";"     838"
"355";"A047596";"NL01  ";"2013MM11";"     674"
"356";"A047596";"NL01  ";"2013MM12";"     714"
"357";"A047596";"NL01  ";"2013KW04";"    2226"
"358";"A047596";"NL01  ";"2013JJ00";"    9394"
"359";"A047596";"NL01  ";"2014MM01";"     697"
"360";"A047596";"NL01  ";"2014MM02";"     678"
"361";"A047596";"NL01  ";"2014MM03";"     594"
"362";"A047596";"NL01  ";"2014KW01";"    1969"
"363";"A047596";"NL01  ";"2014MM04";"     827"
"364";"A047596";"NL01  ";"2014MM05";"     614"
"365";"A047596";"NL01  ";"2014MM06";"     524"
"366";"A047596";"NL01  ";"2014KW02";"    1965"
"367";"A047596";"NL01  ";"2014MM07";"     719"
"368";"A047596";"NL01  ";"2014MM08";"     536"
"369";"A047596";"NL01  ";"2014MM09";"     624"
"370";"A047596";"NL01  ";"2014KW03";"    1879"
"371";"A047596";"NL01  ";"2014MM10";"     605"
"372";"A047596";"NL01  ";"2014MM11";"     551"
"373";"A047596";"NL01  ";"2014MM12";"     611"
"374";"A047596";"NL01  ";"2014KW04";"    1767"
"375";"A047596";"NL01  ";"2014JJ00";"    7580"
"376";"A047596";"NL01  ";"2015MM01";"     550"
"377";"A047596";"NL01  ";"2015MM02";"     535"
"378";"A047596";"NL01  ";"2015MM03";"     709"
"379";"A047596";"NL01  ";"2015KW01";"    1794"
"380";"A047596";"NL01  ";"2015MM04";"     509"
"381";"A047596";"NL01  ";"2015MM05";"     432"
"382";"A047596";"NL01  ";"2015MM06";"     541"
"383";"A047596";"NL01  ";"2015KW02";"    1482"
"384";"A047596";"NL01  ";"2015MM07";"     478"
"385";"A047596";"NL01  ";"2015MM08";"     361"
"386";"A047596";"NL01  ";"2015MM09";"     456"
"387";"A047596";"NL01  ";"2015KW03";"    1295"
"388";"A047596";"NL01  ";"2015MM10";"     427"
"389";"A047596";"NL01  ";"2015MM11";"     438"
"390";"A047596";"NL01  ";"2015MM12";"     551"
"391";"A047596";"NL01  ";"2015KW04";"    1416"
"392";"A047596";"NL01  ";"2015JJ00";"    5987"
"393";"A047596";"NL01  ";"2016MM01";"     425"
"394";"A047596";"NL01  ";"2016MM02";"     503"
"395";"A047596";"NL01  ";"2016MM03";"     513"
"396";"A047596";"NL01  ";"2016KW01";"    1441"
"397";"A047596";"NL01  ";"2016MM04";"     411"
"398";"A047596";"NL01  ";"2016MM05";"     436"
"399";"A047596";"NL01  ";"2016MM06";"     420"
"400";"A047596";"NL01  ";"2016KW02";"    1267"
"401";"A047596";"NL01  ";"2016MM07";"     399"
"402";"A047596";"NL01  ";"2016MM08";"     371"
"403";"A047596";"NL01  ";"2016MM09";"     326"
"404";"A047596";"NL01  ";"2016KW03";"    1096"
"405";"A047596";"NL01  ";"2016MM10";"     330"
"406";"A047596";"NL01  ";"2016MM11";"     510"
"407";"A047596";"NL01  ";"2016MM12";"     344"
"408";"A047596";"NL01  ";"2016KW04";"    1184"
"409";"A047596";"NL01  ";"2016JJ00";"    4988"
"410";"A047596";"NL01  ";"2017MM01";"     443"
"411";"A047596";"NL01  ";"2017MM02";"     331"
"412";"A047596";"NL01  ";"2017MM03";"     339"
"413";"A047596";"NL01  ";"2017KW01";"    1113"
"414";"A047596";"NL01  ";"2017MM04";"     295"
"415";"A047596";"NL01  ";"2017MM05";"     371"
"416";"A047596";"NL01  ";"2017MM06";"     323"
"417";"A047596";"NL01  ";"2017KW02";"     989"
"418";"A047596";"NL01  ";"2017MM07";"     287"
"419";"A047596";"NL01  ";"2017MM08";"     313"
"420";"A047596";"NL01  ";"2017MM09";"     271"
"421";"A047596";"NL01  ";"2017KW03";"     871"
"422";"A047596";"NL01  ";"2017MM10";"     334"
"423";"A047596";"NL01  ";"2017MM11";"     291"
"424";"A047596";"NL01  ";"2017MM12";"     251"
"425";"A047596";"NL01  ";"2017KW04";"     876"
"426";"A047596";"NL01  ";"2017JJ00";"    3849"
"427";"A047596";"NL01  ";"2018MM01";"     365"
"428";"A047596";"NL01  ";"2018MM02";"     267"
"429";"A047596";"NL01  ";"2018MM03";"     296"
"430";"A047596";"NL01  ";"2018KW01";"     928"
"431";"A047596";"NL01  ";"2018MM04";"     285"
"432";"A047596";"NL01  ";"2018MM05";"     342"
"433";"A047596";"NL01  ";"2018MM06";"     270"
"434";"A047596";"NL01  ";"2018KW02";"     897"
"435";"A047596";"NL01  ";"2018MM07";"     319"
"436";"A047596";"NL01  ";"2018MM08";"     291"
"437";"A047596";"NL01  ";"2018MM09";"     263"
"438";"A047596";"NL01  ";"2018KW03";"     873"
"439";"A047596";"NL01  ";"2018MM10";"     338"
"440";"A047596";"NL01  ";"2018MM11";"     297"
"441";"A047596";"NL01  ";"2018MM12";"     283"
"442";"A047596";"NL01  ";"2018KW04";"     918"
"443";"A047596";"NL01  ";"2018JJ00";"    3616"
"444";"A047596";"NL01  ";"2019MM01";"     328"
"445";"A047596";"NL01  ";"2019MM02";"     298"
"446";"A047596";"NL01  ";"2019MM03";"     302"
"447";"A047596";"NL01  ";"2019KW01";"     928"
"448";"A047596";"NL01  ";"2019MM04";"     368"
"449";"A047596";"NL01  ";"2019MM05";"     293"
"450";"A047596";"NL01  ";"2019MM06";"     281"
"451";"A047596";"NL01  ";"2019KW02";"     942"
"452";"A047596";"NL01  ";"2019MM07";"     356"
"453";"A047596";"NL01  ";"2019MM08";"     284"
"454";"A047596";"NL01  ";"2019MM09";"     294"
"455";"A047596";"NL01  ";"2019KW03";"     934"
"456";"A047596";"NL01  ";"2019MM10";"     334"
"457";"A047596";"NL01  ";"2019MM11";"     316"
"458";"A047596";"NL01  ";"2019MM12";"     320"
"459";"A047596";"NL01  ";"2019KW04";"     970"
"460";"A047596";"NL01  ";"2019JJ00";"    3774"
"461";"A047596";"NL01  ";"2020MM01";"     297"
"462";"A047596";"NL01  ";"2020MM02";"     320"
"463";"A047596";"NL01  ";"2020MM03";"     325"
"464";"A047596";"NL01  ";"2020KW01";"     942"
"465";"A047596";"NL01  ";"2020MM04";"     363"
"466";"A047596";"NL01  ";"2020MM05";"     314"
"467";"A047596";"NL01  ";"2020MM06";"     298"
"468";"A047596";"NL01  ";"2020KW02";"     975"
"469";"A047596";"NL01  ";"2020MM07";"     221"
"470";"A047596";"NL01  ";"2020MM08";"     188"
"471";"A047596";"NL01  ";"2020MM09";"     248"
"472";"A047596";"NL01  ";"2020KW03";"     657"
"473";"A047596";"NL01  ";"2020MM10";"     184"
"474";"A047596";"NL01  ";"2020MM11";"     203"
"475";"A047596";"NL01  ";"2020MM12";"     201"
"476";"A047596";"NL01  ";"2020KW04";"     588"
"477";"A047596";"NL01  ";"2020JJ00";"    3162"
"478";"A047596";"NL01  ";"2021MM01";"     158"
"479";"A047596";"NL01  ";"2021MM02";"     136"
"480";"A047596";"NL01  ";"2021MM03";"     191"
"481";"A047596";"NL01  ";"2021KW01";"     485"
"482";"A047596";"NL01  ";"2021MM04";"     143"
"483";"A047596";"NL01  ";"2021MM05";"     149"
"484";"A047596";"NL01  ";"2021MM06";"     161"
"485";"A047596";"NL01  ";"2021KW02";"     453"
"486";"A047596";"NL01  ";"2021MM07";"     120"
"487";"A047596";"NL01  ";"2021MM08";"     123"
"488";"A047596";"NL01  ";"2021MM09";"     134"
"489";"A047596";"NL01  ";"2021KW03";"     377"
"490";"A047596";"NL01  ";"2021MM10";"     121"
"491";"A047596";"NL01  ";"2021MM11";"     207"
"492";"A047596";"NL01  ";"2021MM12";"     156"
"493";"A047596";"NL01  ";"2021KW04";"     484"
"494";"A047596";"NL01  ";"2021JJ00";"    1799"
"495";"A047596";"NL01  ";"2022MM01";"     128"
"496";"A047596";"NL01  ";"2022MM02";"     169"
"497";"A047596";"NL01  ";"2022MM03";"     187"
"498";"A047596";"NL01  ";"2022KW01";"     484"
"499";"A047596";"NL01  ";"2022MM04";"     107"
"500";"A047596";"NL01  ";"2022MM05";"     209"
"501";"A047596";"NL01  ";"2022MM06";"     155"
"502";"A047596";"NL01  ";"2022KW02";"     471"
"503";"A047596";"NL01  ";"2022MM07";"     140"
"504";"A047596";"NL01  ";"2022MM08";"     170"
"505";"A047596";"NL01  ";"2022MM09";"     163"
"506";"A047596";"NL01  ";"2022KW03";"     473"
"507";"A047596";"NL01  ";"2022MM10";"     203"
"508";"A047596";"NL01  ";"2022MM11";"     255"
"509";"A047596";"NL01  ";"2022MM12";"     246"
"510";"A047596";"NL01  ";"2022KW04";"     704"
"511";"A047596";"NL01  ";"2022JJ00";"    2132"
